"grp","common","est","year","metacomm","longitude","latitude"
"4","gizzard shad",7.23576240809284,2012,"VA",397.602632782714,4105.06433774098
"5","gizzard shad",29.3030083465322,2012,"VA",407.602632782714,4105.06433774098
"6","gizzard shad",8.22490620147143,2012,"VA",392.602632782714,4113.72459177882
"7","gizzard shad",5.28023140715035,2012,"VA",402.602632782714,4113.72459177882
"8","gizzard shad",272.150388368575,2012,"VA",377.602632782714,4122.38484581667
"9","gizzard shad",11.5426534406844,2012,"VA",387.602632782714,4122.38484581667
"10","gizzard shad",4.06803653318656,2012,"VA",397.602632782714,4122.38484581667
"11","gizzard shad",10.0516142116673,2012,"VA",407.602632782714,4122.38484581667
"12","gizzard shad",4.914146964912,2012,"VA",392.602632782714,4131.04509985451
"13","gizzard shad",3.36294818451453,2012,"VA",402.602632782714,4131.04509985451
"14","gizzard shad",3.47614961934099,2012,"VA",397.602632782714,4139.70535389236
"15","gizzard shad",8.0239518515129,2012,"VA",407.602632782714,4139.70535389236
"16","gizzard shad",5.20223829160041,2012,"VA",392.602632782714,4148.3656079302
"17","gizzard shad",4.19153450474679,2012,"VA",402.602632782714,4148.3656079302
"18","gizzard shad",19.4634032559716,2012,"VA",412.602632782714,4148.3656079302
"19","gizzard shad",11.2952680998095,2012,"VA",387.602632782714,4157.02586196804
"20","gizzard shad",5.46973839097309,2012,"VA",397.602632782714,4157.02586196804
"21","gizzard shad",5.27571310335276,2012,"VA",407.602632782714,4157.02586196804
"22","gizzard shad",10.7986566585628,2012,"VA",392.602632782714,4165.68611600589
"23","gizzard shad",4.6612361012619,2012,"VA",402.602632782714,4165.68611600589
"24","gizzard shad",9.4481210565917,2012,"VA",412.602632782714,4165.68611600589
"25","gizzard shad",18.8036829858226,2012,"VA",387.602632782714,4174.34637004373
"26","gizzard shad",10.1217085858822,2012,"VA",397.602632782714,4174.34637004373
"27","gizzard shad",11.1503398556488,2012,"VA",407.602632782714,4174.34637004373
"28","gizzard shad",27.1635626644437,2012,"VA",392.602632782714,4183.00662408158
"29","gizzard shad",7.31930149697204,2012,"VA",402.602632782714,4183.00662408158
"30","gizzard shad",12.1029473809291,2012,"VA",397.602632782714,4191.66687811942
"31","gizzard shad",13.1673432731916,2012,"VA",407.602632782714,4191.66687811942
"4","gizzard shad",3.95632007119029,2013,"VA",397.602632782714,4105.06433774098
"5","gizzard shad",19.9300515511614,2013,"VA",407.602632782714,4105.06433774098
"6","gizzard shad",3.9394654256621,2013,"VA",392.602632782714,4113.72459177882
"7","gizzard shad",3.26212268213482,2013,"VA",402.602632782714,4113.72459177882
"8","gizzard shad",175.629955415073,2013,"VA",377.602632782714,4122.38484581667
"9","gizzard shad",5.41622310191598,2013,"VA",387.602632782714,4122.38484581667
"10","gizzard shad",2.37368008102296,2013,"VA",397.602632782714,4122.38484581667
"11","gizzard shad",7.14934183978541,2013,"VA",407.602632782714,4122.38484581667
"12","gizzard shad",3.06729531608358,2013,"VA",392.602632782714,4131.04509985451
"13","gizzard shad",2.08485642570768,2013,"VA",402.602632782714,4131.04509985451
"14","gizzard shad",2.25850521639226,2013,"VA",397.602632782714,4139.70535389236
"15","gizzard shad",4.88163927586551,2013,"VA",407.602632782714,4139.70535389236
"16","gizzard shad",3.85416693911454,2013,"VA",392.602632782714,4148.3656079302
"17","gizzard shad",2.58790555216585,2013,"VA",402.602632782714,4148.3656079302
"18","gizzard shad",10.9009952234787,2013,"VA",412.602632782714,4148.3656079302
"19","gizzard shad",6.96408170871628,2013,"VA",387.602632782714,4157.02586196804
"20","gizzard shad",3.0843374931364,2013,"VA",397.602632782714,4157.02586196804
"21","gizzard shad",3.46781684893835,2013,"VA",407.602632782714,4157.02586196804
"22","gizzard shad",5.70906370174631,2013,"VA",392.602632782714,4165.68611600589
"23","gizzard shad",2.63904921886449,2013,"VA",402.602632782714,4165.68611600589
"24","gizzard shad",5.99070015448125,2013,"VA",412.602632782714,4165.68611600589
"25","gizzard shad",10.3793337153026,2013,"VA",387.602632782714,4174.34637004373
"26","gizzard shad",4.37578228109654,2013,"VA",397.602632782714,4174.34637004373
"27","gizzard shad",6.9995971317406,2013,"VA",407.602632782714,4174.34637004373
"28","gizzard shad",10.9626018621945,2013,"VA",392.602632782714,4183.00662408158
"29","gizzard shad",3.20139267406752,2013,"VA",402.602632782714,4183.00662408158
"30","gizzard shad",4.23347651662468,2013,"VA",397.602632782714,4191.66687811942
"31","gizzard shad",8.22197362744932,2013,"VA",407.602632782714,4191.66687811942
"4","gizzard shad",3.25878120057741,2014,"VA",397.602632782714,4105.06433774098
"5","gizzard shad",13.9179023183656,2014,"VA",407.602632782714,4105.06433774098
"6","gizzard shad",3.50680649786216,2014,"VA",392.602632782714,4113.72459177882
"7","gizzard shad",2.4860696690053,2014,"VA",402.602632782714,4113.72459177882
"8","gizzard shad",148.178679524341,2014,"VA",377.602632782714,4122.38484581667
"9","gizzard shad",4.73552330314444,2014,"VA",387.602632782714,4122.38484581667
"10","gizzard shad",2.30833026626858,2014,"VA",397.602632782714,4122.38484581667
"11","gizzard shad",5.18770363757176,2014,"VA",407.602632782714,4122.38484581667
"12","gizzard shad",2.37173627151745,2014,"VA",392.602632782714,4131.04509985451
"13","gizzard shad",1.81747393811412,2014,"VA",402.602632782714,4131.04509985451
"14","gizzard shad",1.75995390027456,2014,"VA",397.602632782714,4139.70535389236
"15","gizzard shad",4.05505107558299,2014,"VA",407.602632782714,4139.70535389236
"16","gizzard shad",2.59667285913779,2014,"VA",392.602632782714,4148.3656079302
"17","gizzard shad",2.2749294861688,2014,"VA",402.602632782714,4148.3656079302
"18","gizzard shad",10.6639377902744,2014,"VA",412.602632782714,4148.3656079302
"19","gizzard shad",4.69103092184961,2014,"VA",387.602632782714,4157.02586196804
"20","gizzard shad",2.57588177262295,2014,"VA",397.602632782714,4157.02586196804
"21","gizzard shad",2.88808411358185,2014,"VA",407.602632782714,4157.02586196804
"22","gizzard shad",4.42543816547212,2014,"VA",392.602632782714,4165.68611600589
"23","gizzard shad",2.50295321377656,2014,"VA",402.602632782714,4165.68611600589
"24","gizzard shad",5.21644158716202,2014,"VA",412.602632782714,4165.68611600589
"25","gizzard shad",7.71364372872767,2014,"VA",387.602632782714,4174.34637004373
"26","gizzard shad",4.30492165719237,2014,"VA",397.602632782714,4174.34637004373
"27","gizzard shad",6.05613962226243,2014,"VA",407.602632782714,4174.34637004373
"28","gizzard shad",10.9549642379549,2014,"VA",392.602632782714,4183.00662408158
"29","gizzard shad",3.45631889697301,2014,"VA",402.602632782714,4183.00662408158
"30","gizzard shad",4.87906121628516,2014,"VA",397.602632782714,4191.66687811942
"31","gizzard shad",7.87201198968561,2014,"VA",407.602632782714,4191.66687811942
"4","gizzard shad",0.585887617253407,2015,"VA",397.602632782714,4105.06433774098
"5","gizzard shad",3.00868200394537,2015,"VA",407.602632782714,4105.06433774098
"6","gizzard shad",0.639862231065483,2015,"VA",392.602632782714,4113.72459177882
"7","gizzard shad",0.444274679132898,2015,"VA",402.602632782714,4113.72459177882
"8","gizzard shad",46.3951183352282,2015,"VA",377.602632782714,4122.38484581667
"9","gizzard shad",1.23550834819783,2015,"VA",387.602632782714,4122.38484581667
"10","gizzard shad",0.317011976419794,2015,"VA",397.602632782714,4122.38484581667
"11","gizzard shad",0.930840058329416,2015,"VA",407.602632782714,4122.38484581667
"12","gizzard shad",0.49494455622707,2015,"VA",392.602632782714,4131.04509985451
"13","gizzard shad",0.328416376512657,2015,"VA",402.602632782714,4131.04509985451
"14","gizzard shad",0.31350972261765,2015,"VA",397.602632782714,4139.70535389236
"15","gizzard shad",0.662143163480029,2015,"VA",407.602632782714,4139.70535389236
"16","gizzard shad",0.490768342582308,2015,"VA",392.602632782714,4148.3656079302
"17","gizzard shad",0.449400734422321,2015,"VA",402.602632782714,4148.3656079302
"18","gizzard shad",1.70366659781432,2015,"VA",412.602632782714,4148.3656079302
"19","gizzard shad",1.05386090148815,2015,"VA",387.602632782714,4157.02586196804
"20","gizzard shad",0.457560420114217,2015,"VA",397.602632782714,4157.02586196804
"21","gizzard shad",0.616039659542473,2015,"VA",407.602632782714,4157.02586196804
"22","gizzard shad",1.09313271719958,2015,"VA",392.602632782714,4165.68611600589
"23","gizzard shad",0.476671891563773,2015,"VA",402.602632782714,4165.68611600589
"24","gizzard shad",0.972270598745462,2015,"VA",412.602632782714,4165.68611600589
"25","gizzard shad",1.74468447849317,2015,"VA",387.602632782714,4174.34637004373
"26","gizzard shad",0.89142044497257,2015,"VA",397.602632782714,4174.34637004373
"27","gizzard shad",1.2522841516685,2015,"VA",407.602632782714,4174.34637004373
"28","gizzard shad",2.65673006349488,2015,"VA",392.602632782714,4183.00662408158
"29","gizzard shad",0.610587447426785,2015,"VA",402.602632782714,4183.00662408158
"30","gizzard shad",0.893260951129229,2015,"VA",397.602632782714,4191.66687811942
"31","gizzard shad",1.53261594413941,2015,"VA",407.602632782714,4191.66687811942
"4","gizzard shad",1.61238268169701,2016,"VA",397.602632782714,4105.06433774098
"5","gizzard shad",8.31239112083358,2016,"VA",407.602632782714,4105.06433774098
"6","gizzard shad",2.2214679762011,2016,"VA",392.602632782714,4113.72459177882
"7","gizzard shad",1.92291328118997,2016,"VA",402.602632782714,4113.72459177882
"8","gizzard shad",54.1290420012001,2016,"VA",377.602632782714,4122.38484581667
"9","gizzard shad",2.52611886125899,2016,"VA",387.602632782714,4122.38484581667
"10","gizzard shad",1.00123091399413,2016,"VA",397.602632782714,4122.38484581667
